index,scores
385,-0.2354586720466
386,-0.2346865981817
387,-0.01981170475482
388,-0.01982924342155
389,0.9781740903854
390,0.97861278057
391,0.9781740903854
392,0.9781740903854
393,0.1627658307552
394,0.1628750860691
395,-0.871946275234
396,-0.872106075286
397,-0.872023403644
398,-0.98697400093
399,-0.98697912693
400,-0.987143635749
401,-0.987126111984
402,0.072046682238
403,0.0719858556985
404,-0.957246422767
405,-0.957155466079
406,-0.957222819328
407,0.978668272495
408,-0.989956676959
409,-0.990115523338
410,-0.990174293518
411,-0.990127623081
412,-0.99024152755
413,-0.990235626697
414,-0.990153551101
415,-0.990084767341
416,-0.990111947059
417,-0.990077197551
418,-0.99030840396
419,-0.990319371223
420,-0.990166902542
421,-0.990172326564
422,-0.990186810493
423,-0.990202188491
424,-0.988678634166
425,-0.988764882087
426,-0.988788485527
427,-0.98888814449
428,-0.988089978694
429,-0.988139986991
430,-0.988011121749
431,-0.988009214401
432,-0.865437150001
433,-0.864927530288
434,-0.865053355693
435,-0.989748835563
436,-0.989933907985
437,-0.989964544773
438,-0.989875555038
439,-0.990023374557
440,-0.989871263504
441,-0.989881634712
442,-0.989861547946
443,-0.989897727966
444,-0.990031719207
445,-0.989240705966
446,-0.989257335662
447,-0.989150762557
448,-0.989130854606
449,-0.989156782627
450,-0.989189386367
451,-0.990284204483
452,-0.990242362022
453,-0.990245342254
454,-0.990143179893
455,-0.990168333053
456,-0.990212678909
457,-0.653639316558
458,-0.653200030326
459,-0.6533177495
460,0.9781740903854
461,0.3913989067077
462,0.39410984516
463,-0.989408850669
464,-0.989200830459
465,-0.98908650875
466,-0.989305615425
467,-0.98048520088
468,-0.980292737483
469,-0.980165481567
470,-0.979148507118
471,-0.978876054286
472,-0.97858929634
473,0.391398906707763
474,0.3941098451614
475,0.977522909641
476,-0.1497828364372
477,-0.151113867759
478,-0.987857878208
479,-0.98775953054
480,-0.9877319335
481,-0.987822055816
482,-0.989568352699
483,-0.989466309547
484,-0.989483714103
485,-0.989500701427
486,0.979737818241
487,0.1034121811389
488,0.104283884167
489,-0.9872354269
490,-0.98730379343
491,-0.98725926876
492,-0.98713672161
493,0.1239649951457
494,0.124818727374
495,0.103412181138992
496,0.10428388416767
497,-0.987214624881
498,-0.987226486206
499,-0.98716199398
500,-0.987068653106
501,0.103412181138992
502,0.10428388416767
503,-0.987638950347
504,-0.987576067447
505,-0.98760879039
506,-0.987617671489
507,-0.987617373466
508,-0.987448751926
509,-0.987492084503
510,-0.987521469593
511,-0.987455964088
512,0.0412227511405
513,0.041942775249
514,-0.989004075527
515,-0.98907226324
516,-0.989057779312
517,-0.988933086395
518,-0.988978862762
519,0.977174758911
520,-0.947391271591
521,-0.947407007217
522,-0.947300195693
523,0.979453802108
524,-0.988207399845
525,-0.988268852233
526,-0.988226771354
527,-0.988200783729
528,-0.988250494003
529,-0.990323126316
530,-0.99027621746
531,-0.989969074726
532,-0.99023604393
533,-0.9901864528656
534,-0.990157485008
535,-0.989838123321
536,-0.98975908756
537,-0.989634037017
538,-0.989734172821
539,-0.989712536334
540,0.975421011447
541,0.9754210114479
542,0.186737775802
543,0.1875018477439
544,-0.988686084747
545,-0.98892903327
546,-0.988846302032
547,-0.98877644538
548,0.976939558982
549,0.545069098472
550,0.544979691505
551,0.873807787895
552,-0.989509522914
553,-0.989594340324
554,-0.98973506689
555,-0.989679336547
556,-0.989593088626
557,-0.988887548446
558,-0.989039719104
559,-0.988980650901
560,-0.988905191421
561,-0.0417682901024
562,-0.04170213639736
563,-0.989772081375
564,-0.989762961864
565,-0.989824354648
566,-0.98984336853
567,-0.989825487136
568,-0.989901661872
569,-0.477924168109
